Grapheme	IPA	LANGUAGES
l̥	l̥	ronb, skb, shg, chp, ish, psu
d͡z	dð	kmg, psk, cho, khp, ronb, skb
^β	β	shg, ronb, kmg, psk
^č̣ʰ	ʈʂʰ	naz, yasc, hyd, saz, hop, uyu, hus, mur, krm, thu, gan
^ˈw	ˈβ̞/β̞	naz, yasc, nag, hyd, hop, gil, uyu, hus, mur, thu, gan
^ɑ̱	ɑ̠/ɑ	krm, bag, jal, kol, sas, pal, pun, dar, bun
ʌ̱$	ɜ̠/ɜ	kol, clt, jal, pal, dsh, bun
ẽ	ẽ	dar, ast, chk, goh, kac, nag, chj, gul, kol
^ˈò	ˈò/o	sat, har, ast, nag, sas, hun, chj, tan, dar, bag, bun
^ʊ	ʊ	ish, psu, shm, urdu, chp, gil
f$	f	thu, yas, chp, ish, psu, har, shm, pashto, tan, urdu
ŋs$	ŋ s̪	skb, cho, kmg, psk, ronb
^ʔ	ʔ	clt, yasc, goh, kol, sas, hun, pal, bag, bun
ǰ̣	dʑ	gil, nag, sas, kac, hop, uyu
ˈɑ$	ˈɑ/ɑ	har, naz, hyd, hop, uyu, hus, mur, gan
v$	v	yas, chp, ish, psu, shm
ˈṭʰ	ˈʈʰ/ʈʰ	jal, nag, saz, pal, dsh, pun, ast, gup, kol
^ˈʌ̃	ˈɜ̃/ɜ̃	sat, har, clt, kac, nag, ron, chj, pun, gul, chk
^ˈǰ̣	ˈɖʐ/ɖʐ	chk, clt, nag, gil, ron, dsh, pun, gul, ast, bun
æ	æ	urdu, psu, goh, yas, domaaki, chp
^pʸ	pʲ	kmg, shg, khp, cho, ronb, chp, psu, skb, shm
ps$	p s̪	psk, khp, skb, kmg, shg, cho
ls$	l s̪	ronb, skb, kmg, psk, shg, khp, cho
ns$	n̪ s̪	yasc, kmg, shg, khp, cho, ronb, hop, skb, thu
^ˈi	ˈi/i	naz, hyd, hop, uyu, hus, mur, gan
^ˈɣ	ˈɣ/ɣ	thu, yasc, naz, hun
^ɑˑ	ɑˑ	naz, yasc, hyd, hop, uyu, hus, mur, thu, gan
ʊ̱	ʊ̠/ʊ	gul, gup, bun, dsh, pun, ast
^ʌ̃	ɜ̃	goh, saz, chj, dsh, krm, ast, gup
e̱	e̠/e	ast, dsh, gup, nag, pun
ʌⁱ$	ɜi	sat, goh, chj, kac, saz, ron
^ˈu	ˈu/u	dar, goh, saz, kol, jal, pal, chj, chk
^ɑɑ$	ɑ ɑ	jal, krm, ron, chj, gul, kol
čʰ$	tɕʰ	gil, clt, nag, hun, pashto, bag, bun
ə	ə	pashto
ms	m s̪	shg, kmg, psk, khp, cho, ronb, skb
ks	k s̪	skb, cho, kmg, psk, khp
^xs	x s̪	shg, kmg, khp, ronb, skb
oˑ	oˑ	domaaki, yas, psu, skb, shm
uˑ$	uˑ	naz, hyd, domaaki, hop, uyu, hus, mur, gan
^ˈt͡s	ˈtθ/tθ	goh, yas, chp, ish, psu, shm, tan, chk
ɛ́	ɛ́/ɛ	nag, gil, bun, saz, hun
^ˈɑ̱	ˈɑ̱/ɑ	bun, clt, dsh, pun, gul, ast
^ˈʔ	ˈʔ/ʔ	nag, jal, gil, hun, dsh, pun, ast, bun
ɑɑ$	ɑ ɑ	jal, hun, pal, har, pun, gul, kol
e̱ʰ$	e̱ʰ/e	dsh, nag, gil, sas, dar, bag, bun
ᵘi$	ui	gil, dsh, clt, bun, saz, har
æ̃$	æ̃	pal, jal, urdu, kol
tw	t̪ β̞	kmg, psk, shg, khp, cho, ronb, skb
dw	d̪ β̞	kmg, psk, shg, khp, cho, ronb, skb
^ñʸ	ȵʲ	kmg, psk, shg, khp, cho, ronb, skb
^rw	ɾ̪/ɾ β̞	kmg, psk, shg, khp, cho, ronb, skb
^dᶦ	d̪ ɪ	kmg, psk, shg, khp, cho, ronb, skb
^lʸ	lʲ	kmg, psk, shg, khp, cho, ronb, skb
r̥$	ɾ̪̥/ɾ	shm, psk, psu, chp
r̥	ɾ̪̥/ɾ	psu, yas, chp, cho
ts$	t̪ s̪	shg, kmg, khp, cho, ronb, skb
ms$	m s̪	kmg, psk, shg, khp, cho, ronb, skb
y$	j	naz, yasc, hyd, uyu, hus, mur, thu
^ˈtʰ	ˈt̪ʰ/t̪ʰ	naz, hyd, hop, uyu, hus, mur, gan
iʰ$	iʰ/i	sat, kac, hop, ron, uyu, pal, dsh
^u$	u	naz, hyd, hop, uyu, hus, mur, gan
^ˈo	ˈo/o	saz, domaaki, gil, ron, bag, gup, chk
č̣ʰ$	ʈʂʰ	nag, clt, gil, sas, dar, bag
õõ	õ õ 	pal, goh, jal, kol, chj, chk
ǰ$	dʑ	urdu, chp, gil, psu, shm
ʌ̃	ɜ̃	pashto, kmg, psk, ronb, skb
^ᵒɣ	o ɣ	skb, shg, khp, kmg
^kʸ	kʲ	kmg, psk, shg, khp, ronb, skb
^x̯	x̯/x	psk, yas, chp, ish, psu, shm
oˑ$	oˑ	psu, psk, cho, shg, skb
^õ	õ	kmg, psk, cho, shg, khp, ronb
^kʰʸ	kʰʲ	kmg, shg, khp, cho, ronb, skb
ˈỵ	ˈɻ/ɻ	hyd, hop, uyu, hus, mur, gan
^ˈt͡sʰ	ˈtθʰ/tθʰ	naz, hyd, uyu, hus, mur, gan
fs$	f s̪	shm, yas, chp, ish, psu
^ɣ̯	ɣ̯/ɣ	psu, yas, chp, ish, shm
ž$	ʑ	shm, yas, chp, ish, psu
iˑ	iˑ	yas, chp, domaaki, ish, psu, shm
x̯w	x̯/x β̞	shm, psu, chp
ˈpʰ	ˈpʰ/pʰ	dar, krm, domaaki
ˈčʰ	ˈtɕʰ/tɕʰ	gil, nag, krm, pun, drs
^ˈf	ˈf/f	chk, krm, gil, chj, ast, bun
^ʌ̱	ɜ̠/ɜ	dsh, pun, gul, ast, gup, bun
^bʷ	bʷ	gul, sat, kac, drs, krm
^ee$	e e	ron, krm, nag, chj, gup
eʰ$	eʰ/e	dar, goh, tan, bag, gup
ᶺo$	ɜo	ronb, kmg, gil, ron, sas, nag
h$	h	urdu, hop, uyu
ɔ$	ɔ	chp, pashto, ish, psu
^bʰ	bʰ	urdu, kac
^ɔ	ɔ	psu, ish, urdu, chp
^d͡z	dð	cho, psk, yas, dar
qs	q s̪	kmg, psk, shg, cho, skb
^ɸ	ɸ	kmg, ronb, shg, khp
uʰ$	uʰ/u	khp, kmg, shg
qs$	q s̪	kmg, psk, cho, shg, skb
ˈqʰ	ˈqʰ/qʰ	naz, hyd, hop, uyu, gan
ˈt͡sʰ	ˈtθʰ/tθʰ	naz, hyd, hus, mur, gan
ʊˑ	ʊˑ	chp, shm, ish, psu
ˈv	ˈv/v	yas, chp, ish, psu, shm
ɛ̀	ɛ̀/ɛ	nag, hun, bun
ˈr̃	ˈr̪/r̪	pun, tan, hun, bag
ˈž	ˈʑ/ʑ	gil, kol, dar
^oo	o o	kac, drs, dsh, krm, gul
ɛ́$	ɛ́/ɛ	nag, gil, hun, dar
^ɑⁱ$	ɑi	chj, goh, chk
ᶺõ$	ɜo	ast, dsh, gul, bun
ɛ̃	ɛ̃	hop, tan, krm, urdu
ẽ$	ẽ	urdu, drs, saz
ns	n̪ s̪	shm, psu, urdu, chp
^n̥	n̥	shg
^ps	p s̪	ronb, khp, shg, skb
t͡sʰ	tθʰ	hop, uyu, yasc
^qʰ	qʰ	hop, uyu, psu, domaaki
ʌʰ$	ɜʰ/ɜ	chj, thu, yasc, chk
θ$	θ	chp, shm, psu
ẓ̌$	ʐ	ish, psu, yas, chp
ˈʌ	ˈɜ/ɜ	dsh, gul, hun, ish
ˈθ	ˈθ/θ	shm, ish, psu, chp
ð$	ð	psu, shm, chp
ˈð	ˈð/ð	shm, ish, psu, chp
^θ	θ	shm, ish, psu, chp
í	í/i	domaaki, gil, dsh
ˈʷ	ˈβ̞/β̞	ron, kac, sat, hun
^ˈʌ̱̃	ɜ̠̃/ɜ̃	gil, dsh, ast, bun
^ˈṭ	ˈʈ/ʈ	tan, pal, jal, kol
oⁱ$	oi	krm, sat, saz, gul
č̣ʰ	ʈʂʰ	gil, nag, dsh, clt
^čʷ	tɕʷ	drs, sat, saz, gul
^ɑ̀	ɑ̀/ɑ	kac, sat
ᵘe	ue	dar, nag, bun, dsh
^ɣw	ɣ β̞	pashto
^i$	i	urdu
-	+	urdu
lh	l h	psu, urdu, chp
tˑ	t̪ˑ	urdu
bʰ	bʰ	urdu
eⁱ	ei	pashto, clt, bun
kʸ	kʲ	krm, cho, khp
^ñ̥	ȵ̊	shg, cho
^xʸ	xʲ	ronb, skb, kmg
xs$	x s̪	ronb, cho, shg
^ˈḍw	ˈɖ/ɖ β̞	naz, hus, gan
^ˈgʸ	ˈgʲ/gʲ	thu, yasc, gan
^nʸ	n̪ʲ	thu, yasc
ˈu$	ˈu/u	thu, nag, yasc
^sˑ	s̪ˑ	chp, shm
x̯$	x̯/x	shm, psu, chp
ɣ̯	ɣ̯/ɣ	shm, psu, chp
ð	ð	shm, psu, chp
ɛ̥$	ɛ̥	har, jal, kol
rᵘ	ɾ̪/ɾ u	sas, bag, bun
kᶺ	k ɜ	kol, saz
rᶺ	ɾ̪/ɾ ɜ	hun, dsh, ast
ˈũ$	ˈũ/ũ	pun, gul, ast
u̱ʰ$	u̱ʰ/u	bun
^ˈx	ˈx/x	chj, bun, chk
^ˈr̃	ˈr̪/r̪	hun, dar, bun
õⁱ$	õ̃i	krm, nag, chk
ˈʰ	NULL	har, jal, kol
ʌ̥$	ɜ̥	chj, pal, jal
lʸ	lʲ	gil, pun, kac
^ɛ̱	ɛ̠/ɛ	gil, nag, hun
ˈtʸ	ˈt̪ʲ/t̪ʲ	nag, hun, clt
æ$	æ	chj, kol
ɔ̃$	ɔ̃	chj, kac, sat
ⁱũ$	iũ	gil, sas, ron
ᶦo$	ɪ o	pal, jal
ᵘĩ$	uĩ	krm, chk, tan
^gʰ	gʰ	kac, urdu
rw	ɾ̪/ɾ β̞	pashto, urdu
sw	s̪ β̞	pashto
tʰˑ	t̪ʰˑ	urdu
sˑ	s̪ˑ	urdu
^dʰ	d̪ʰ	urdu
^gw	g β̞	pashto
čʰˑ	tɕʰˑ	urdu
ẽʸ	ẽĩ	urdu
ɑˑ	ɑˑ	domaaki, urdu
ʌⁱ	ɜi	pashto
lw	l β̞	pashto
^ᶷɣ	ʊ ɣ	ronb, khp
^gᶷ	g ʊ	cho, kmg
^ɸs	ɸ s̪	cho, kmg
^ᶺɣ	ɜ ɣ	shg, kmg
ʔ	ʔ	dsh, shg
eˑ	eˑ	thu, domaaki
ˈʌ$	ˈɜ/ɜ	thu, yasc
ˈɪ$	ˈɪ/ɪ	thu, yasc
ǰʰ	dʑʰ	shm, psu
u̥	u̥	psu
n̥$	n̪̊	psu, chp
^æ	æ	har, domaaki
^pʷ	pʷ	pal, kol
ũ̱$	ũ̠/ũ	sas, bun
uⁱ̃$	uĩ	chj, goh
uⁱ$	ui	dar, ast
ˈkʷ	ˈkʷ/kʷ	pal, jal
ˈĩ	ˈĩ/ĩ	pun, gup
^ˈɑ̀	ˈɑ̀/ɑ	chj, chk
^čw	tɕ β̞	kac
kⁱ$	k i	bun
ˈũ	ˈũ/ũ	pal, jal
ˈeⁱ$	ˈei/ei	jal, kol
^kʷ	kʷ	jal, kol
sᶺ	s̪ ɜ	chj, pal
ˈẽ	ˈẽ/ẽ	gil
ɑ̃ⁱ	ɑ̃i	kac, bag
ɑ̱̃$	ɑ̠̃/ɑ̃	hun, bag
ᶺũ$	ɜu	ast
ɑᵒ$	ɑo	tan
ᵅo$	ɑo	bag
ɑᵉ	ɑe	dar
ᵅe	ɑe	sat
ᵘʌ$	uɜ	bun
ᵘɑ$	uɑ	nag
ⁱo$	io	jal
ⁱo̱$	io̱/o	ast
ⁱu$	iu	gul
ᵉo$	eo	saz
ᵉu$	eu	krm
ᵘe$	ue	kol
ḍˑ	ɖˑ	urdu
^ǰʰ	dʑʰ	urdu
^nw	n̪ β̞	pashto
ṭˑ	ʈˑ	urdu
ɑ̃ˑ	ɑ̃ˑ	urdu
hs	h s̪	urdu
dʰ$	d̪ʰ	urdu
ɑ̃ɑ̃	ɑ̃ ɑ̃	urdu
čˑ	tɕˑ	urdu
^zw	z̪ β̞	pashto
ḍ$	ɖ	pashto
^dw	d̪ β̞	pashto
dʰ	d̪ʰ	urdu
mˑ	mˑ	urdu
ɣw	ɣ β̞	pashto
^ɣᶺ	ɣ ɜ	khp
ɬʸ	l̪ʲ	psk
^r̃	r̪	cho
^rʸ	ɾ̪ʲ/ɾʲ	shg
zw	z̪ β̞	psk
eˑ$	eˑ	cho
^ǰʸ	dʑʲ	ronb
qʰ$	qʰ	cho
^ᵒr	o ɾ̪/ɾ	ronb
kᶷ	k ʊ	cho
^čʸ	tɕʲ	ronb
ñ$	ȵ	cho
^tʸ	t̪ʲ	khp
^ᶷb	ʊ b	kmg
^hs	h s̪	psk
ŋs	ŋ s̪	psk
ỵw	ɻ β̞	hus
uˑ	uˑ	yas
æʰ	æ h	ish
ˈʔ	ˈʔ/ʔ	yas
ʉ$	ʉ	ish
ɛ̃$	ɛ̃	psu
^šʸ	ɕʲ	domaaki
ɑ̱̃	ɑ̠̃/ɑ̃	bun
ĩ̱$	ĩ̠/ĩ	bun
ˈgʷ	ˈgʷ/gʷ	ron
ˈŋʷ	ˈŋʷ/ŋʷ	drs
gw	g β̞	pal
^hiiᵘ$	h i iu	jal
^lᶺh	l ɜ h	kol
ḍᶺ	ɖ ɜ	dar
^ˈpʷ	ˈpʷ/pʷ	jal
gᵘ	g u	saz
^vʷ	vʷ	saz
dᶺ	d̪ ɜ	kac
^ˈõ	ˈõ/õ	clt
^ʰɑ	ʰɑ/ɑ	gil
ŋᵏ$	ŋ k	hun
æ̃	æ̃	drs
ˈe$	ˈe/e	dar
pp	p p	gul
tᶺ	t̪ ɜ	jal
ì$	ì/i	sat
ˈkw	ˈk/k β̞	kol
ɛɛ$	ɛ ɛ	krm
ĩĩ	ĩ ĩ	pun
ũ̱	ũ̠/ũ	sas
ˈɛ̃	ˈɛ̃/ɛ̃	tan
^mᶺ	m ɜ	kol
^ˈž	ˈʑ/ʑ	kol
^dᶺh	d̪ ɜ h	kol
eᵘ$	eu	drs
ˈkʸ	ˈkʲ/kʲ	clt
zᶺ	z̪ ɜ	sas
ɑʷ	ɑ  β̞	gul
ṇᶺ	ɳ ɜ	saz
ˈõ$	ˈõ/õ	dsh
oⁱ	oi	nag
^ṣ̌ʷ	ʂʷ	kol
^ɑ̱̃	ɑ̠̃/ɑ̃	gil
^i̱	i̠/i	bun
nʸ	n̪ʲ	nag
nʸ$	n̪ʲ	bag
ˈṭʸ	ˈʈʲ/ʈʲ	drs
tʸ	t̪ʲ	ron
ɑ̃ᵒ$	ɑ̃ o	krm
ˈnʸ	ˈn̪ʲ/n̪ʲ	krm
^ɑɑ	ɑ ɑ	ast
uʷ	u β̞	krm
ɛ̃ɛ̃	ɛ̃  ɛ̃	gup
ʌᶦ	ɜi	kol
^ɛʰ$	ɛ h	bag
^e$	e	drs
ˈḍʸ	ˈɖʲ/ɖʲ	drs
õ̱$	õ̠/õ	jal
^oo$	o o	ron
ˈɛ$	ˈɛ/ɛ	har
^guu̱ṇi$	g u u̱/u ɳ i	saz
